ID,Title,Pay,OT Pay,Other Pay,Benefits,Compensation,Employment
142000,Nurse Midwife,18829.14,0,275,0,19104.14,PT
142001,Dental Aide,18912.39,0,0,189.14,19101.53,PT
142002,Transit Operator,10959.27,858.08,153.7,7130.04,19101.09,PT
142003,Porter,18907.2,0,0,189.1,19096.3,PT
142004,Public Svc Aide-Public Works,18006.16,0,0,1089.88,19096.04,PT
142005,Transit Operator,10841.57,934.93,214.9,7076.06,19067.46,PT
142006,Transit Operator,11023.42,488.22,334.48,7220.69,19066.81,PT
142007,Recreation Leader,18155.46,358.75,357.69,188.72,19060.62,PT
142008,Special Nurse,15425.88,0,1522.48,2108.15,19056.51,PT
142009,Communications Dispatcher 2,18640.68,42.99,367.72,0,19051.39,PT
142010,Museum Guard,19002.38,47.35,0,0,19049.73,PT
142011,Transit Operator,11006.38,641.04,222.49,7178.42,19048.33,PT
142012,Public Svc Aide-Public Works,17959.83,0,0,1087.64,19047.47,PT
142013,Transit Operator,10859.55,884.48,215.33,7087.29,19046.65,PT
142014,Public Svc Aide-Public Works,17959.62,0,0,1085.86,19045.48,PT
142015,Transit Operator,10969.1,813.82,128.52,7128.57,19040.01,PT
142016,Sr Airport Communications Disp,13747.56,0,183,5099.41,19029.97,PT
142017,Public Svc Aide-Public Works,16061.75,0,850.38,2111.98,19024.11,PT
142018,Transit Operator,11004.7,605.29,232.9,7180.01,19022.9,PT
142019,Executive Secretary 1,18825.82,0,0,188.27,19014.09,PT
142020,Transit Operator,10853.49,866.29,206.99,7080.73,19007.5,PT
142021,Transit Operator,10985.75,588.76,253.7,7176.99,19005.2,PT
142022,Transit Operator,10962.73,737.21,165.15,7138.62,19003.71,PT
142023,Transit Operator,11011.68,547.66,250.76,7189.19,18999.29,PT
142024,Recreation Leader,12290.21,0,62.88,6645.68,18998.77,PT
142025,Transit Operator,10860.3,813.23,228.97,7091.05,18993.55,PT
142026,Transit Operator,10765.49,1122.35,106.71,6997.16,18991.71,PT
142027,General Laborer,18801.3,0,0,188.01,18989.31,PT
142028,Senior Administrative Analyst,11218,0,3773.57,3991.3,18982.87,PT
142029,PS Aide to Prof,18784.92,0,0,187.86,18972.78,PT
142030,Food Service Worker,18419.7,0,342.36,187.62,18949.68,PT
142031,Registered Nurse,0,0,14287.63,4659.36,18946.99,PT
142032,Electronic Maintenance Tech,13499.1,31.84,131.6,5283.96,18946.5,PT
142033,Environmental Service Worker,17763.17,220.79,100.51,860.74,18945.21,PT
142034,Special Nurse,17858.39,0,888.4,187.48,18934.27,PT
142035,Transit Operator,10951.13,560.61,264.58,7154.3,18930.62,PT
142036,Special Nurse,14333.27,59.49,1594.02,2932.37,18919.15,PT
142037,Transit Operator,12010.6,452.35,169.54,6263.26,18895.75,PT
142038,Eligibility Worker,17447.22,0,1258.87,187.06,18893.15,PT
142039,HSA Sr Eligibility Worker,12416.5,0,0,6473.54,18890.04,PT
142040,Public Information Officer,13056.8,0,0,5831.89,18888.69,PT
142041,StdntDsgn Train2/Arch/Eng/Plng,18693.59,0,0,186.96,18880.55,PT
142042,PS Aide to Prof,18692.54,0,0,186.93,18879.47,PT
142043,Senior Personnel Analyst,5841.51,0,10985.66,2045.22,18872.39,PT
142044,"StdntDsgnTrain3, Arch/Eng/Plng",18684.1,0,0,186.84,18870.94,PT
142045,HSA Sr Eligibility Worker,13359.59,0,113.57,5395.67,18868.83,PT
142046,Special Nurse,15607.1,0,101.86,3155.35,18864.31,PT
142047,Transit Operator,10997.88,922.14,198.06,6746.14,18864.22,PT
142048,Transit Operator,10998.44,479.75,212.55,7172.05,18862.79,PT
142049,Transit Operator,12333.46,0,46.16,6474.76,18854.38,PT
142050,ASR Senior Office Specialist,15354.9,0,0,3488.87,18843.77,PT
142051,Apprentice Gardener,17103.2,1549.17,0,186.52,18838.89,PT
142052,StdntDsgn Train2/Arch/Eng/Plng,18650.04,0,0,186.51,18836.55,PT
142053,Transit Operator,10843.04,581.95,310.27,7097.24,18832.5,PT
142054,Clerk,18611.5,30.87,0,186.44,18828.81,PT
142055,Occupational Therapist,15467.86,0,0,3350.81,18818.67,PT
142056,Transit Operator,17561.21,624.46,6,610.34,18802.01,PT
142057,Benefits Technician,14490,0,0,4305.81,18795.81,PT
142058,Publ Svc Aide-Asst to Prof,15224.55,0,0,3568.2,18792.75,PT
142059,Transit Operator,10828.51,730.49,174.6,7053.79,18787.39,PT
142060,Transit Operator,10832.15,693.65,195.65,7062.84,18784.29,PT
142061,Museum Guard,18386.3,208.62,0,185.98,18780.9,PT
142062,Transit Operator,10776.66,715.04,235.23,7037.93,18764.86,PT
142063,Administrative Analyst,14414.5,0,1129.17,3217.31,18760.98,PT
142064,Custodian,16264.57,2309.87,0,185.74,18760.18,PT
142065,"Counselor,Log Cabin Rnch SFERS",16821.68,105.85,1639.02,185.67,18752.22,PT
142066,PS Aide to Prof,18524.53,0,0,185.26,18709.79,PT
142067,Transit Operator,10761.33,640.44,267.61,7036.8,18706.18,PT
142068,Stationary Engineer,14797.4,0,551.62,3347.3,18696.32,PT
142069,Custodian,16095.26,55.57,720.54,1824.93,18696.3,PT
142070,Senior Clerk,18509.1,0,0,185.09,18694.19,PT
142071,"StdntDsgnTrain1, Arch/Eng/Plng",18343.3,164.45,0,185.07,18692.82,PT
142072,Patient Care Assistant,16919.12,0,1577.07,184.99,18681.18,PT
142073,Clerk,12064.94,0,328.25,6273.91,18667.1,PT
142074,PS Aide to Prof,18477.13,0,0,184.78,18661.91,PT
142075,IS Manager,12755.81,0,2589.11,3302,18646.92,PT
142076,Public Svc Aide-Public Works,17523.94,0,0,1109.54,18633.48,PT
142077,Special Nurse,16778.97,0,1668.93,184.47,18632.37,PT
142078,HSA Sr Eligibility Worker,14681,0,0,3934.5,18615.5,PT
142079,Porter,14442.03,0,237.22,3934.06,18613.31,PT
142080,Events & Facilities Specialist,13353.38,0,0,5256.89,18610.27,PT
142081,Planner 2,18415.19,0,0,184.16,18599.35,PT
142082,Custodian,17798.91,0,613.83,184.13,18596.87,PT
142083,Transit Operator,11324.7,1714.15,68.49,5469.93,18577.27,PT
142084,Clerk,16029.41,2363.64,0,183.94,18576.99,PT
142085,Public Svc Aide-Public Works,17106.55,0,576.59,880.92,18564.06,PT
142086,Museum Guard,16669.31,179.46,1531.94,168.47,18549.18,PT
142087,Transit Operator,10712.39,595.62,232.07,6991.06,18531.14,PT
142088,Special Nurse,13277.94,38.89,1945.24,3265.98,18528.05,PT
142089,Senior Telephone Operator,17299.98,271.35,772.41,183.45,18527.19,PT
142090,Senior Eligibility Worker,0,0,13866.34,4659.36,18525.7,PT
142091,Senior Account Clerk,14193.48,229.59,0,4100.79,18523.86,PT
142092,Recreation Leader,15046.17,0,271.72,3201.17,18519.06,PT
142093,Nurse Practitioner,17293.56,934.5,290.93,0,18518.99,PT
142094,Custodian,17726.29,0,583.49,183.1,18492.88,PT
142095,Recreation Leader,17275.13,0,1024.06,182.99,18482.18,PT
142096,Personnel Analyst,12655.7,0,0,5817.89,18473.59,PT
142097,Museum Guard,18290.2,0,0,182.89,18473.09,PT
142098,Sr Community Dev Spec 2,18287.09,0,0,182.89,18469.98,PT
142099,Transit Operator,12145.75,0,11.54,6311.05,18468.34,PT
142100,PS Aide to Prof,18258.5,0,0,182.64,18441.14,PT
142101,Soft Floor Coverer,17349.95,0,901.93,182.52,18434.4,PT
142102,Special Nurse,13040.55,0,2305.54,3077.46,18423.55,PT
142103,Account Clerk,11794.5,0,0,6626.8,18421.3,PT
142104,Environmental Hlth Tech 1,12545.5,0,0,5872.04,18417.54,PT
142105,Transit Operator,10689,577.07,185.92,6964.63,18416.62,PT
142106,PS Aide to Prof,18229.58,0,0,182.31,18411.89,PT
142107,Transit Operator,10694.91,411.98,300,7001.13,18408.02,PT
142108,Public Svc Aide-Public Works,14777.74,167.18,1212.44,2240.69,18398.05,PT
142109,Special Nurse,15328.95,0,65.91,3002.54,18397.4,PT
142110,Special Nurse,14909.7,0,777.49,2708.28,18395.47,PT
142111,Pool Lifeguard,17900.96,0,306.04,182.05,18389.05,PT
142112,Publ Svc Aide-Asst to Prof,15245.77,487.35,828.45,1825.91,18387.48,PT
142113,Custodian,15717.63,0,664.88,1989.85,18372.36,PT
142114,Custodian,10617,880.11,641.42,6225.28,18363.81,PT
142115,Custodian,10617,880.11,641.42,6225.28,18363.81,PT
142116,Custodian,10617,880.11,641.42,6225.28,18363.81,PT
142117,Lighting Fixture Maint Worker,10588,1720.7,0,6054.01,18362.71,PT
142118,Stationary Engineer,18141.8,0,27.62,181.66,18351.08,PT
142119,HSA Sr Eligibility Worker,14469.5,0,0,3877.82,18347.32,PT
142120,Public Service Trainee,10528,147,0,7670.62,18345.62,PT
142121,Nurse Practitioner,13513.05,0,1351.32,3471.03,18335.4,PT
142122,Museum Guard,18065.81,84.54,0,181.44,18331.79,PT
142123,Communications Systems Tech,4067.01,0,12815.94,1444.02,18326.97,PT
142124,Public Service Aide-Admin,18128.53,0,0,181.29,18309.82,PT
142125,Publ Svc Aide-Asst to Prof,18113.23,0,0,181.17,18294.4,PT
142126,Assistant Purchaser,9355.04,0,4665.89,4267.53,18288.46,PT
142127,Licensed Vocational Nurse,17251.46,627.76,227.71,181.07,18288,PT
142128,Legislative Assistant,13334,0,0,4949.54,18283.54,PT
142129,Junior Administrative Analyst,12368.36,0,0,5910.54,18278.9,PT
142130,PS Aide to Prof,11256.08,0,261.74,6752.84,18270.66,PT
142131,Senior Comm Systems Technican,18088.24,0,0,180.88,18269.12,PT
142132,Senior Account Clerk,18082.78,0,0,180.8,18263.58,PT
142133,Public Svc Aide-Public Works,15299.13,0,843.03,2112.19,18254.35,PT
142134,Automotive Service Worker,11952.2,0,0,6295.78,18247.98,PT
142135,Public Svc Aide-Public Works,14670.74,167.18,1195.67,2210.6,18244.19,PT
142136,Health Worker 2,11531.25,0,320,6377.26,18228.51,PT
142137,Bldg & Grounds Patrol Officer,17878.56,0,338.88,0,18217.44,PT
142138,"StdntDsgnTrain3, Arch/Eng/Plng",18032.4,0,0,180.33,18212.73,PT
142139,Public Svc Aide-Public Works,14999.98,0,1179.95,2026.44,18206.37,PT
142140,Public Svc Aide-Public Works,10203.76,0,851.72,7144.16,18199.64,PT
142141,Transit Operator,10587.24,488.67,213.44,6907.08,18196.43,PT
142142,Transit Operator,10519.87,614.53,199.68,6860.83,18194.91,PT
142143,Publ Svc Aide-Asst to Prof,17246.64,764.85,0,180.12,18191.61,PT
142144,"StdntDsgnTrain1, Arch/Eng/Plng",11368.01,144.75,706.38,5967.46,18186.6,PT
142145,Transit Operator,11889.93,0,0,6285.35,18175.28,PT
142146,Special Nurse,14713.2,0,490.44,2958.52,18162.16,PT
142147,Porter,17974.89,0,0,179.76,18154.65,PT
142148,Museum Guard,18099.03,47.7,0,0,18146.73,PT
142149,Special Nurse,13006.05,0,2167.69,2960.84,18134.58,PT
142150,Patient Care Assistant,16482.38,0,1464.99,179.48,18126.85,PT
142151,Special Nurse,13987.5,1930.28,2021.2,179.39,18118.37,PT
142152,PS Aide to Prof,17818.29,116.78,0,179.35,18114.42,PT
142153,Patient Care Assistant,17814.43,0,120.6,179.31,18114.34,PT
142154,Asst Electronic Main Tech,11732,1484.83,0,4896.47,18113.3,PT
142155,Account Clerk,14276.7,0,0,3826.17,18102.87,PT
142156,Public Svc Aide-Public Works,15333.35,0,821.76,1945.09,18100.2,PT
142157,Recreation Leader,17332.1,0,587.3,179.17,18098.57,PT
142158,Recreation Leader,17858.81,0,53.36,179.14,18091.31,PT
142159,Fusion Welder,0,0,18090,0,18090,PT
142160,Museum Guard,17900.48,180.17,0,0,18080.65,PT
142161,Electrical Line Worker,3493,0,13322.3,1258.81,18074.11,PT
142162,Food Service Worker,17864.61,0,24.11,178.88,18067.6,PT
142163,Custodian,10617,586.74,641.42,6222.35,18067.51,PT
142164,Lighting Fixture Maint Worker,17277.3,611.33,0,178.88,18067.51,PT
142165,"StdntDsgnTrain3, Arch/Eng/Plng",17887.37,0,0,178.88,18066.25,PT
142166,Senior Administrative Analyst,14763.75,0,0,3295.27,18059.02,PT
142167,Custodian,16700.74,0,1177.79,178.82,18057.35,PT
142168,Water Quality Technician,17269.36,607.91,0,178.78,18056.05,PT
142169,Carpenter,12716,0,494.38,4843.89,18054.27,PT
142170,"Counselor, Juvenile Hall SFERS",14782.6,2704.41,370.17,178.58,18035.76,PT
142171,General Laborer,16687.04,865.75,302.96,178.58,18034.33,PT
142172,"StdntDsgnTrain1, Arch/Eng/Plng",17846.1,0,0,178.48,18024.58,PT
142173,Transit Operator,10534.02,360.06,239.89,6878.27,18012.24,PT
142174,Special Nurse,14268.44,0,461.36,3282.28,18012.08,PT
142175,Admission Attendant,11580.78,226.95,0,6195.52,18003.25,PT
142176,"StdntDsgnTrain1, Arch/Eng/Plng",17823.91,0,0,178.25,18002.16,PT
142177,Environmental Spec,17822.14,0,0,178.22,18000.36,PT
142178,Special Nurse,17919.92,0,56.54,0,17976.46,PT
142179,Public Svc Aide-Public Works,13365.09,0,1153.86,3450.87,17969.82,PT
142180,Public Information Officer,12441.1,0,0,5527.68,17968.78,PT
142181,Assistant Const Inspector,11584,474.58,857.21,5052.56,17968.35,PT
142182,Stage Electrician,17955.8,0,0,0,17955.8,PT
142183,Special Nurse,15334.45,0,2620.09,0,17954.54,PT
142184,Transit Operator,4617.77,0,11863.56,1464.93,17946.26,PT
142185,Bldg & Grounds Patrol Officer,17505.92,0,260.5,177.66,17944.08,PT
142186,Nurse Practitioner,2669.09,7230.79,8037.92,0,17937.8,PT
142187,Registered Nurse,10550,0,3849.43,3526.69,17926.12,PT
142188,"Counselor, Juvenile Hall",16316.22,10.43,1418.41,177.47,17922.53,PT
142189,Public Svc Aide-Public Works,17051.96,0,0,852.88,17904.84,PT
142190,Public Svc Aide-Public Works,16589.54,0,449.2,865.58,17904.32,PT
142191,Patient Care Assistant,16543.6,0,1178.58,177.24,17899.42,PT
142192,Senior Clerk,17718.64,0,0,177.19,17895.83,PT
142193,Publ Svc Aide-Asst to Prof,17706.92,0,0,177.07,17883.99,PT
142194,Testing Technician,17691.2,0,0,176.9,17868.1,PT
142195,Cable Splicer,11517.01,0,2293.27,4055.05,17865.33,PT
142196,Manager II,13971,0,0,3892.29,17863.29,PT
142197,Museum Guard,17847.64,0,0,0,17847.64,PT
142198,Transit Operator,10480.63,461.18,204.32,6686.18,17832.31,PT
142199,Transit Operator,10305.1,694.2,121.82,6700.23,17821.35,PT
142200,Nurse Practitioner,12848.25,0,1616.53,3356.09,17820.87,PT
142201,IS Programmer Analyst-Senior,12664.9,0,0,5153.53,17818.43,PT
142202,Custodian,10617,293.37,676.1,6228.71,17815.18,PT
142203,"StdntDsgnTrain1, Arch/Eng/Plng",17633.36,0,0,176.33,17809.69,PT
142204,Manager III,17782.25,0,0,0,17782.25,PT
142205,Public Svc Aide-Public Works,15686.94,0,748.53,1345.39,17780.86,PT
142206,Principal Clerk,12591.88,0,0,5188.76,17780.64,PT
142207,Transit Operator,11710.22,0,0,6067.74,17777.96,PT
142208,Publ Svc Aide-Asst to Prof,17595.47,0,0,175.95,17771.42,PT
142209,Public Service Trainee,17588.2,0,0,175.87,17764.07,PT
142210,"StdntDsgnTrain1, Arch/Eng/Plng",17580.29,0,0,175.8,17756.09,PT
142211,Executive Secretary 2,8963,0,5279.22,3510.53,17752.75,PT
142212,Junior Engineer,14000,0,0,3752,17752,PT
142213,Public Svc Aide-Public Works,16898.14,0,0,851.34,17749.48,PT
142214,Asst Engr,12648,0,0,5096.27,17744.27,PT
142215,Clerk,17525.65,32.55,0,175.59,17733.79,PT
142216,Attorney (Civil/Criminal),12257.88,0,1823.63,3648.98,17730.49,PT
142217,Public Svc Aide-Public Works,14997.76,0,817.08,1910.47,17725.31,PT
142218,Firefighter,12577.5,0,0,5143.85,17721.35,PT
142219,Publ Svc Aide-Asst to Prof,17540.6,0,0,175.4,17716,PT
142220,PS Aide to Prof,17539.66,0,0,175.4,17715.06,PT
142221,Public Svc Aide-Public Works,16881.92,0,0,827.17,17709.09,PT
142222,Recreation Leader,17329.53,0,199.68,175.29,17704.5,PT
142223,Special Nurse,17526.48,0,0,175.25,17701.73,PT
142224,Institution Utility Worker,17525.93,0,0,175.25,17701.18,PT
142225,Sheriff's Property Keeper,17518.6,0,0,175.19,17693.79,PT
142226,Special Nurse,14147.25,0,634.51,2910.55,17692.31,PT
142227,Medical Evaluations Assistant,13540.01,0,280,3870.65,17690.66,PT
142228,Sr. Community Devl Spc 1,10866.71,0,2851.14,3969.73,17687.58,PT
142229,Housekeeper/Food Service Clnr,16456.38,912,142.5,175.13,17686.01,PT
142230,Recreation Leader,17093.08,0,417.79,175.11,17685.98,PT
142231,Administrative Analyst,12384,0,0,5300.99,17684.99,PT
142232,"Counselor, Juvenile Hall",12706,0,120,4857.75,17683.75,PT
142233,Accountant III,17497.04,0,0,174.98,17672.02,PT
142234,Public Svc Aide-Public Works,14562.94,0,973.23,2131.3,17667.47,PT
142235,Patient Care Assistant,17411.9,0,78.78,174.9,17665.58,PT
142236,Park Patrol Officer,8585.4,1340.9,3579.2,4148.52,17654.02,PT
142237,Patient Care Assistant,12752.03,405.64,562.46,3933.1,17653.23,PT
142238,"Manager II, MTA",17469.36,0,0,174.72,17644.08,PT
142239,PS Aide to Prof,17466.13,0,0,174.66,17640.79,PT
142240,Nurse Practitioner,17181.01,0,279.47,174.61,17635.09,PT
142241,Legal Secretary 1,12166.7,0,0,5463.39,17630.09,PT
142242,Asphalt Finisher Supervisor 1,0,0,17235.24,387.75,17622.99,PT
142243,Nursing Supervisor,13345,0,1334.5,2930.37,17609.87,PT
142244,Transit Operator,13314.32,2890.03,1228.59,174.36,17607.3,PT
142245,Custodian,11662.28,0,80.95,5859.91,17603.14,PT
142246,Museum Guard,17448.96,144.53,0,0,17593.49,PT
142247,Clerk,17416.69,0,0,174.17,17590.86,PT
142248,Licensed Vocational Nurse,17412.8,0,0,174.13,17586.93,PT
142249,Clerk,17410.2,0,0,174.1,17584.3,PT
142250,Nurse Practitioner,14306.31,0,0,3274.9,17581.21,PT
142251,"StdntDsgnTrain1, Arch/Eng/Plng",17387.5,0,0,173.9,17561.4,PT
142252,Transit Operator,10064.77,726.12,197.65,6567.71,17556.25,PT
142253,Clerk,9942.8,0,1846.42,5766.47,17555.69,PT
142254,Publ Svc Aide-Asst to Prof,17355.08,0,0,173.54,17528.62,PT
142255,Transit Operator,11450.66,0,10.91,6049.07,17510.64,PT
142256,Deputy Probation Officer,2148,0,14664.58,686.97,17499.55,PT
142257,Admission Attendant,17318.62,0,0,173.17,17491.79,PT
142258,"StdntDsgnTrain1, Arch/Eng/Plng",17132.05,182.72,0,173.15,17487.92,PT
142259,Electrician,16311.11,992.56,0,173.03,17476.7,PT
142260,General Laborer,15363.9,1183.53,745.2,172.94,17465.57,PT
142261,Police Officer 3,0,0,17464.29,0,17464.29,PT
142262,Special Nurse,14378.85,1276.66,1631.77,172.89,17460.17,PT
142263,Public Service Trainee,17280,0,0,172.8,17452.8,PT
142264,Special Nurse,11982.5,0,2444.43,3025.67,17452.6,PT
142265,Traffic Signal Electrician,12264,766.51,0,4420.65,17451.16,PT
142266,Recreation Leader,17450.29,0,0,0,17450.29,PT
142267,Public Svc Aide-Public Works,16220.18,0,477.3,751.92,17449.4,PT
142268,PS Aide to Prof,17263.7,0,0,172.63,17436.33,PT
142269,Museum Preparator,17125.87,132.38,0,172.59,17430.84,PT
142270,PS Aide Health Services,16751.55,0,499.65,172.55,17423.75,PT
142271,Attorney (Civil/Criminal),17190.19,0,60.84,172.52,17423.55,PT
142272,Electrician,17037.3,209.48,0,172.47,17419.25,PT
142273,Account Clerk,11149.21,0,0,6267.93,17417.14,PT
142274,Public Service Trainee,17000,0,0,415.18,17415.18,PT
142275,Public Svc Aide-Public Works,16292.64,0,0,1117.99,17410.63,PT
142276,Welfare Fraud Investigator,14990.06,0,0,2419.25,17409.31,PT
142277,Clerk,10985.68,0,10.21,6411.09,17406.98,PT
142278,Clerk,10991,0,0,6411.46,17402.46,PT
142279,Physician Specialist,12464.17,0,1152.06,3784.5,17400.73,PT
142280,Nurse Practitioner,17224.3,0,0,172.25,17396.55,PT
142281,Publ Svc Aide-Asst to Prof,17189.16,35.05,0,172.26,17396.47,PT
142282,Senior Account Clerk,11196,0,0,6199.78,17395.78,PT
142283,Food Service Worker,17204.14,0,8.94,172.15,17385.23,PT
142284,Transit Operator,14422.49,1318.5,1468.59,172.1,17381.68,PT
142285,Gardener,12145.08,0,0,5233.43,17378.51,PT
142286,Clinical Psychologist,14880.54,0,0,2494.91,17375.45,PT
142287,Public Information Officer,12348,0,0,5025.95,17373.95,PT
142288,Clerk,17201.6,0,0,172.02,17373.62,PT
142289,Housekeeper/Food Service Clnr,17200.07,0,0,172.03,17372.1,PT
142290,Police Officer,14255.4,0,0,3110.52,17365.92,PT
142291,Hospital Eligibility Worker,16393.67,0,0,955.79,17349.46,PT
142292,Special Nurse,13921.58,0,576.49,2841.52,17339.59,PT
142293,Public Svc Aide-Public Works,14295.39,0,973.21,2062.63,17331.23,PT
142294,Special Nurse,14788.9,0,2367.64,171.59,17328.13,PT
142295,Publ Svc Aide-Asst to Prof,17156.55,0,0,171.56,17328.11,PT
142296,Housekeeper/Food Service Clnr,16722.57,520.13,79.56,0,17322.26,PT
142297,Special Nurse,12379.75,0,2034.33,2897.59,17311.67,PT
142298,Recreation Leader,17055.7,0,82.96,171.39,17310.05,PT
142299,Special Nurse,15787.51,0,1349.98,171.36,17308.85,PT
142300,Public Service Trainee,17136,0,0,171.36,17307.36,PT
142301,Public Svc Aide-Public Works,16435.45,0,144,714.53,17293.98,PT
142302,PS Aide to Prof,17109.9,0,0,171.07,17280.97,PT
142303,Senior Clerk,16993.98,111.43,0,171.05,17276.46,PT
142304,Transit Operator,11672.8,0,46.16,5552.79,17271.75,PT
142305,Publ Svc Aide-Asst to Prof,15684.71,0,54.66,1530.4,17269.77,PT
142306,Protective Services Worker,12750.61,0,85.54,4430.87,17267.02,PT
142307,Transit Operator,11360.18,0,34.62,5860.32,17255.12,PT
142308,Public Svc Aide-Public Works,16219.34,0,414.63,620.92,17254.89,PT
142309,Public Svc Aide-Public Works,16259.52,0,382.69,598.49,17240.7,PT
142310,Bldg & Grounds Patrol Officer,16270.37,0,791.29,170.61,17232.27,PT
142311,Physician Specialist,14287.64,0,0,2943.29,17230.93,PT
142312,Publ Svc Aide-Asst to Prof,17058.3,0,0,170.59,17228.89,PT
142313,Licensed Vocational Nurse,15790.5,0,1263.26,170.52,17224.28,PT
142314,Publ Svc Aide-Asst to Prof,17046.53,0,0,170.47,17217,PT
142315,Special Nurse,16944.15,0,95.58,170.4,17210.13,PT
142316,"StdntDsgnTrain3, Arch/Eng/Plng",17025.69,0,0,170.23,17195.92,PT
142317,PS Aide to Prof,9843.51,0,1344.69,6007.47,17195.67,PT
142318,"StdntDsgnTrain1, Arch/Eng/Plng",17020.73,0,0,170.2,17190.93,PT
142319,Public Svc Aide-Public Works,15531.42,0,0,1657.93,17189.35,PT
142320,Recreation Leader,17013.83,0,0,170.15,17183.98,PT
142321,Testing Technician,16621.76,382.91,0,170.08,17174.75,PT
142322,Nurse Practitioner,5632.51,5207.56,6161.37,170.01,17171.45,PT
142323,PS Aide to Prof,17000.66,0,0,170.04,17170.7,PT
142324,Custodian,16167.93,0,806.43,169.75,17144.11,PT
142325,IS Manager,0,0,15789.65,1346.85,17136.5,PT
142326,Custodial Assistant Supervisor,11393.13,0,588.84,5152.55,17134.52,PT
142327,"StdntDsgnTrain3, Arch/Eng/Plng",16953.6,0,0,169.55,17123.15,PT
142328,PS Aide to Prof,16925.86,0,0,169.29,17095.15,PT
142329,Licensed Vocational Nurse,16911.95,0,0,169.18,17081.13,PT
142330,Special Nurse,11466.88,0,1952.62,3656.8,17076.3,PT
142331,Eligibility Worker,15854.05,0,1049.65,169.04,17072.74,PT
142332,Junior Clerk,13860,3039.42,0,169.01,17068.43,PT
142333,Elections Clerk,12958.7,3937.62,0,168.96,17065.28,PT
142334,Community Police Services Aide,11044.05,0,451.62,5567.89,17063.56,PT
142335,Special Nurse,14190.31,0,6.46,2862.49,17059.26,PT
142336,Public Svc Aide-Public Works,16436.45,0,0,619.26,17055.71,PT
142337,Public Svc Aide-Public Works,13880.57,0,1003.68,2170.79,17055.04,PT
142338,Transit Operator,9678,765.35,242.49,6368.16,17054,PT
142339,Special Nurse,16876.68,0,0,168.77,17045.45,PT
142340,Environmental Service Worker,8994.33,0,3104.53,4938.81,17037.67,PT
142341,Watershed Keeper,10279.01,764.7,1644.94,4345.34,17033.99,PT
142342,Sr. Community Devl Spc 1,12072,0,0,4961.31,17033.31,PT
142343,Account Clerk,10908.01,0,0,6122.6,17030.61,PT
142344,Account Clerk,10908,0,0,6122.6,17030.6,PT
142345,"StdntDsgnTrain1, Arch/Eng/Plng",16859.85,0,0,168.63,17028.48,PT
142346,Clerk,16858.49,0,0,168.6,17027.09,PT
142347,Eligibility Worker,8483.92,0,4942.65,3596.87,17023.44,PT
142348,Account Clerk,11617.7,0,0,5405.48,17023.18,PT
142349,PS Aide to Prof,16736.65,115.05,0,168.52,17020.22,PT
142350,Clerk,9797.02,30.71,1454.54,5729.13,17011.4,PT
142351,Public Svc Aide-Public Works,16392,0,0,618.84,17010.84,PT
142352,Custodian,16626.42,0,206.35,168.34,17001.11,PT
142353,Public Svc Aide-Public Works,15935.65,0,438.53,625.13,16999.31,PT
142354,Personnel Trainee,13488,0,0,3507.47,16995.47,PT
142355,Utility Analyst,11665.53,0,0,5329.28,16994.81,PT
142356,Recreation Leader,16543.89,0,448.33,0,16992.22,PT
142357,Health Program Coordinator 1,13752.5,0,0,3222.22,16974.72,PT
142358,Apprentice Gardener,10872.78,0,0,6093.26,16966.04,PT
142359,Custodian,16419.7,0,374.7,167.94,16962.34,PT
142360,Museum Guard,16472.28,312.93,0,167.84,16953.05,PT
142361,Museum Guard,15935.85,843.43,0,167.79,16947.07,PT
142362,Recreation Leader,16404.99,0,537.93,0,16942.92,PT
142363,Sr. Community Devl Spc 1,12225.51,0,0,4713.19,16938.7,PT
142364,Public Svc Aide-Public Works,16323.93,0,0,614.6,16938.53,PT
142365,Transit Fare Inspector,11111.7,0,103.86,5698.52,16914.08,PT
142366,Public Svc Aide-Public Works,13991.72,0,1322.52,1597.96,16912.2,PT
142367,Recreation Leader,16508.94,0,233.74,167.42,16910.1,PT
142368,Museum Guard,16692.4,38.7,0,167.28,16898.38,PT
142369,PS Aide Health Services,16588.15,141.9,0,167.33,16897.38,PT
142370,Patient Care Assistant,16726.6,0,2.81,167.28,16896.69,PT
142371,Transit Operator,10690.37,418.31,207.74,5565.55,16881.97,PT
142372,Pr Administrative Analyst,16713,0,0,167.13,16880.13,PT
142373,"StdntDsgnTrain1, Arch/Eng/Plng",10720.44,0,413.26,5733.99,16867.69,PT
142374,PS Aide to Prof,16696.38,0,0,167,16863.38,PT
142375,Special Nurse,13266.5,0,591.37,2999.65,16857.52,PT
142376,Occupational Therapist,12242.35,0,0,4614.5,16856.85,PT
142377,Custodian,16687.23,0,0,166.88,16854.11,PT
142378,Watershed Worker (Seasonal),16685.7,0,0,166.85,16852.55,PT
142379,Dietitian,16683.3,0,0,166.83,16850.13,PT
142380,Recreation Leader,16317.51,0,532.27,0,16849.78,PT
142381,Licensed Vocational Nurse,15165.05,0,1514.2,166.8,16846.05,PT
142382,Recreation Leader,16366.74,0,297,166.67,16830.41,PT
142383,Manager V,16651.55,0,0,166.52,16818.07,PT
142384,"StdntDsgnTrain3, Arch/Eng/Plng",16647.87,0,0,166.48,16814.35,PT
142385,Library Page,10395.9,0,62.84,6355.48,16814.22,PT
